kanji,heisigId,heisigKeyword,heisigCollisions,jpdbKeyword,jpdbCollisions
誌,646,document,,magazine,
芯,647,wick,邪,wick,邪
忠,648,loyalty,,loyalty,
串,649,shish kebab,,skewer,
患,650,afflicted,,afflicted,
思,651,think,,think (that something is true),
恩,652,grace,淑 婉,debt of gratitude,
応,653,apply,,respond with action,
意,654,idea,,idea,
臆,655,cowardice,,be hesitant,
想,656,concept,,heartfelt thought,
息,657,breath,,breath,
憩,658,recess,,take a break,
恵,659,favor,,favored,
恐,660,fear,,fear,
惑,661,beguile,,lead astray,
感,662,emotion,情,feelings,情
憂,663,melancholy,,anxiety,煩
寡,664,widow,,widow,
忙,665,busy,業,busy,業
悦,666,ecstasy,,ecstasy,
恒,667,constancy,,constant,
悼,668,lament,嘆,lament,嘆
悟,669,enlightenment,,enlightenment,
怖,670,dreadful,,scary,
慌,671,disconcerted,,flustered,狽
悔,672,repent,,regret,
憎,673,hate,,hate,
慣,674,accustomed,,get used to,
愉,675,pleasure,,fun,
惰,676,lazy,,lazy,
慎,677,humility,,careful,
憾,678,remorse,,remorse,
憶,679,recollection,,memory,偲
惧,680,disquieting,,disquieting,
憧,681,yearn,,yearn for,
憬,682,hanker,,long for,
慕,683,pining,,adore,崇
添,684,annexed,,addition,
必,685,invariably,,certainly,確
泌,686,ooze,,ooze,
手,687,hand,,hand,
看,688,watch over,,watch over,
摩,689,chafe,,grind against,
我,690,ego,,me (old fashioned),
義,691,righteousness,,justice,
議,692,deliberation,,deliberation,
犠,693,sacrifice,,sacrifice,
抹,694,rub,擦 摺,grind into a powder,
拭,695,wipe,,wipe,
拉,696,yank,,squash flat,
抱,697,embrace,,hug,擁
搭,698,board,,board,
抄,699,extract,,extract,
抗,700,confront,,oppose,
批,701,criticism,,criticism,
招,702,beckon,,beckon,
拓,703,clear the land,,clear the way,
拍,704,clap,,clap rythmically,
打,705,strike,,strike,
拘,706,arrest,逮,constrain,
捨,707,discard,棄,throw away,
拐,708,kidnap,,kidnap,
摘,709,pinch,,pluck,抽
挑,710,challenge,,challenge,
指,711,finger,,finger,
持,712,hold,,have,
拶,713,imminent,,squeeze fingers,
括,714,fasten,,tie a loop around,
揮,715,brandish,,to wield (physically),
推,716,conjecture,,infer,
揚,717,hoist,,raise and suspend,
提,718,propose,案,propose,案
損,719,damage,,harmful loss,
拾,720,pick up,,pick up (off the ground),
担,721,shouldering,肩,to shoulder,
拠,722,foothold,,foundation,
描,723,sketch,,paint a picture,
操,724,maneuver,,manipulate,掌
接,725,touch,触,come in contact,
掲,726,put up a notice,,put up (a notice),
掛,727,hang,,hang,
捗,728,make headway,,make headway,
研,729,polish,磨,refine,精 雅
戒,730,commandment,将 帥,commandment,将 帥
弄,731,tinker with,,tinker with,
械,732,contraption,,contraption,
鼻,733,nose,,nose,
刑,734,punish,,criminal punishment,
型,735,mould,,model,塑
才,736,genius,,talent,
財,737,property,,riches,
材,738,lumber,,raw materials,
存,739,suppose,,existence,在
在,740,exist,存,presence,
乃,741,from,,archaic の (girly),
携,742,portable,,carry in a hand,
及,743,reach out,,reach,
吸,744,suck,,suck,
扱,745,handle,,to handle,
丈,746,length,,3 meters,
史,747,history,,history,
吏,748,officer,,government official,
更,749,grow late,,all over again,
硬,750,stiff,,hard like a rock,
梗,751,spiny,,round tube,
又,752,or again,,once again,
双,753,pair,,pair,
桑,754,mulberry,,mulberry,
隻,755,vessels,,(seafaring) vessel,
護,756,safeguard,,keep safe,
獲,757,seize,,capture in a hunt,
奴,758,guy,,guy,
怒,759,angry,,angry,
友,760,friend,睦,friend,睦
抜,761,slip out,,pull out,
投,762,throw,,throw,
没,763,drown,溺,go under,
股,764,thigh,,thighs,
