kanji,heisigId,heisigKeyword,heisigCollisions,jpdbKeyword,jpdbCollisions
祇,2646,local god,,earthly god,
祢,2647,ancestral shrine,,ancestral shrine,
禄,2648,salarium,,salary,給
禎,2649,felicitation,,felicitation,
秤,2650,balancing scales,,balancing scales,
黍,2651,millet,,millet,
禿,2652,bald,,bald,
稔,2653,bear fruit,,bear fruit,
稗,2654,crabgrass,,crabgrass,
穣,2655,bumper crop,,yielding abundantly,
稜,2656,imperial authority,,imperial authority,
稀,2657,sparse,疎,rare,珍
穆,2658,obeisant,,obeisant,
窺,2659,peep,,look through something narrow,
窄,2660,tight,,tight,
穿,2661,drill,,drill,
竃,2662,kitchen stove,,kitchen stove,
竪,2663,longness,欲 長,longness,欲 長
颯,2664,rustling,,rustling,
站,2665,outpost,,outpost,
靖,2666,repose,,repose,
妾,2667,concubine,,concubine,
衿,2668,lapel,,lapel,
袷,2669,lined kimono,,lined kimono,
袴,2670,pleated skirt,,hakama,
襖,2671,sliding door,,sliding door,
笙,2672,Chinese panpipe,,Chinese panpipe,
筏,2673,raft,,raft,
簾,2674,bamboo blinds,,bamboo blinds,
箪,2675,rattan box,,rattan box,
竿,2676,pole,極,pole,極
箆,2677,spatula,,spatula,
箔,2678,foil,,foil,
笥,2679,wardrobe,,wardrobe,
箭,2680,arrow shaft,,arrow shaft,
筑,2681,ancient harp,,ancient harp,
篠,2682,slender bamboo,,dwarf bamboo,
纂,2683,redaction,,redaction,
竺,2684,bamboo cane,,bamboo cane,
箕,2685,winnowing fan,,winnowing fan,
笈,2686,backpack,,backpack,
篇,2687,livraison,,livraison,
筈,2688,should,,should,
簸,2689,winnow,,winnow,
粕,2690,settlings,済,settlings,済
糟,2691,lees,,lees,
糊,2692,paste,故 去,paste,故 去
籾,2693,unhulled rice,,unhulled rice,
糠,2694,rice bran,,rice bran,
糞,2695,excrement,,shit,
粟,2696,foxtail millet,,foxtail millet,
繋,2697,link up,,link together,
綸,2698,twine,,twine,
絨,2699,carpet yarn,,carpet yarn,
絆,2700,ties,結,ties,結
緋,2701,scarlet,,scarlet,
綜,2702,synthesis,,synthesis,
紐,2703,string,,string,
紘,2704,chinstrap,,chinstrap,
纏,2705,summarize,,summarize,
絢,2706,gorgeous,,gorgeous,
繍,2707,embroidery,,embroidery,
紬,2708,pongee,,pongee,
綺,2709,ornate,,ornate,
綾,2710,damask,,design,柄
絃,2711,catgut,,catgut,
縞,2712,stripe,,stripe,
綬,2713,gimp,,gimp,
紗,2714,gossamer,,gauze,羅
舵,2715,rudder,,rudder,
聯,2716,strung together,,strung together,
聡,2717,attentive,,clever-witted,
聘,2718,summons,,summons,
耽,2719,addiction,,become engrossed (in something),
耶,2720,exclamation,,exclamation,
蚤,2721,flea,,flea,
蟹,2722,crab,,crab,
蛋,2723,protein,,protein,
蟄,2724,hibernation,,hibernation,
蝿,2725,housefly,,housefly,
蟻,2726,ant,,ant,
蝋,2727,wax,,wax,
蝦,2728,shrimp,,shrimp,
蛸,2729,octopus,,octopus,
螺,2730,screw,,spiral,
蝉,2731,cicada,,cicada,
蛙,2732,frog,,frog,
蛾,2733,moth,,moth,
蛤,2734,clam,,clam,
蛭,2735,leech,,leech,
蛎,2736,oyster,,oyster,
罫,2737,ruled lines,,ruled lines,
袈,2738,stole,,stole,
裟,2739,monk’s sash,,monk’s sash,
截,2740,incision,,incision,
哉,2741,I wonder,,archaic exclamation mark,
詢,2742,counsel,,counsel,
諄,2743,polite,政 礼,wordy,
讐,2744,vendetta,,vendetta,
諌,2745,remonstrate,,remonstrate,
諒,2746,verify,,verify,
讃,2747,compliment,,compliment,
訊,2748,query,,query,
訣,2749,split up,,decide to separate,
詫,2750,beg another’s pardon,,beg pardon,
誼,2751,familiarity,,familiarity,
謬,2752,fallible,,fallible,
訝,2753,wary,,fishy,
諺,2754,proverb,,proverb,
誹,2755,slander,,slander,
謂,2756,so-called,,so-called,
諜,2757,secret agent,,secret agent,
註,2758,footnote,,footnote,
譬,2759,parable,,parable,
轟,2760,rumble,,roar,
輔,2761,reinforce,,help out,
輻,2762,spoke,,spoke of a wheel,
輯,2763,assemble,,assemble,
豹,2764,panther,,leopard,
賎,2765,despicable,,despicable,
貰,2766,get,,get,
賑,2767,bustling,奔,bustling,奔
贖,2768,expiate,,redeem,
躓,2769,stumble,,stumble,
蹄,2770,hoof,,hoof,
蹟,2771,vestiges,,vestiges,
跨,2772,straddle,,straddle,
跪,2773,kneel,,kneel,
醤,2774,soy sauce,,soy sauce,
醍,2775,whey,,whey,
醐,2776,ghee,,ghee,
醇,2777,strong sake,,strong sake,
麹,2778,malt,,malted rice,
釦,2779,button,,button,
銚,2780,keg,,keg,
鋤,2781,plow,,plow,
鋸,2782,hand saw,,hand saw,
錐,2783,awl,,awl,
鍬,2784,hoe,,hoe,
鋲,2785,rivet,,rivet,
錫,2786,tin,,tin,
錨,2787,anchor,,anchor,
釘,2788,nail,,nail,
鑓,2789,javelin,,javelin,
鋒,2790,sword’s point,,sword’s point,
鎚,2791,hammer,,metal hammer,
鉦,2792,carillion,,carillion,
錆,2793,rust,,rust,
鍾,2794,cluster,房,bronze jar,
鋏,2795,scissors,,scissors,
閃,2796,flash,,flash,
悶,2797,agony,,writhe in pain,
閤,2798,side gate,,side gate,
雫,2799,trickle,,trickle,
霞,2800,haze,,haze,
翰,2801,quill,,quill,
斡,2802,auspices,,auspices,
鞍,2803,saddle,,saddle,
鞭,2804,whip,,whip,
鞘,2805,saddle straps,,scabbard,
鞄,2806,briefcase,,briefcase,
靭,2807,pliable,,pliable,
鞠,2808,terminate,,terminate,
顛,2809,overturn,覆,turn around,
穎,2810,brush tip,,sharp tip,
頗,2811,exceedingly,超,exceedingly,超
頌,2812,accolade,,accolade,
頚,2813,neck and throat,,neck and throat,
餐,2814,repast,,repast,
饗,2815,feast,,feast,
蝕,2816,eclipse,,consumed by worms,
飴,2817,sweets,菓 甘,(hard) candy,
駕,2818,stretcher,,stretcher,
騨,2819,piebald,,piebald,
馳,2820,rush,,rush (when going somewhere),
騙,2821,cheat,,deceive through words,
馴,2822,tame,,become used to,
駁,2823,rebuttal,,rebuttal,
駈,2824,gallop,,gallop,
驢,2825,donkey,,donkey,
鰻,2826,eel,,eel,
鯛,2827,sea bream,,sea bream,
鰯,2828,sardine,,sardine,
鱒,2829,trout,,trout,
鮭,2830,salmon,,salmon,
鮪,2831,tuna,,tuna,
鮎,2832,sweet smelt,,sweetfish,
鯵,2833,horse mackerel,,horse mackerel,
鱈,2834,cod,,cod,
鯖,2835,mackerel,,mackerel,
鮫,2836,shark,,shark,
鰹,2837,bonito,,bonito,
鰍,2838,bullhead,,bullhead,
鰐,2839,alligator,,crocodile,
鮒,2840,crucian carp,,crucian,
鮨,2841,sushi,,sushi,
鰭,2842,fish fin,,fish fin,
鴎,2843,seagull,,seagull,
鵬,2844,roc,,large mythical bird,
鸚,2845,parakeet,,parakeet,
鵡,2846,parrot,,parrot,
鵜,2847,cormorant,,cormorant,
鷺,2848,heron,,heron,
鷲,2849,eagle,,eagle,
鴨,2850,wild duck,,duck,
鳶,2851,black kite,,black kite (a type of bird),
梟,2852,owl,,owl,
塵,2853,dust,,dust,
麒,2854,giraffe,,giraffe,
舅,2855,father-in-law,,father-in-law,
鼠,2856,mouse,,mouse,
鑿,2857,bore,,bore,
艘,2858,small craft,,small craft,
瞑,2859,close the eyes,,close one's eyes,
暝,2860,murky,,blot out the sun,
坐,2861,sitting in meditation,,sitting around an earth pillar,
朔,2862,first day of the month,,first day of the month,
曳,2863,tow,,drag,
洩,2864,dribble out,,unintentionally leak,
彗,2865,comet,,comet,
慧,2866,astute,,astute,
爾,2867,let it be,,let it be,
嘉,2868,applaud,,praiseworthy,
兇,2869,evil,,evil,
兜,2870,helmet,,helmet,
靄,2871,mist,,mist,
劫,2872,kalpa,,kalpa,
歎,2873,bemoan,,grief,
輿,2874,palanquin,,palanquin,
歪,2875,warped,,distort,
翠,2876,jade green,,jade green,
黛,2877,blue-black,,blue-black,
鼎,2878,tripod,,tripod,
鹵,2879,rocksalt,,rocksalt,
鹸,2880,lye,,lye,
虔,2881,reserved,,reserved,
燕,2882,swallow,,swallow (bird),
嘗,2883,lick,,taste,
殆,2884,almost,,almost,
牌,2885,mahjong tiles,,mahjong tile,
覗,2886,peek,,peek,
齟,2887,disagree,,uneven,
齬,2888,discord,,irregular teeth,
秦,2889,Manchu dynasty,,Qin dynasty,
雀,2890,sparrow,,sparrow,
隼,2891,peregrine falcon,,falcon,
耀,2892,shimmering,,shimmering,
夷,2893,ebisu,,barbarian,蛮
嚢,2894,cyst,,sac,
暢,2895,carefree,,carefree,
廻,2896,circling,丸 円,going around (old),
欣,2897,elation,,elation,
毅,2898,stalwart,,stalwart,
斯,2899,this,,this,
匙,2900,wooden spoon,,wooden spoon,
匡,2901,set straight,,set straight,
肇,2902,founding,,founding,
麿,2903,Utamaro,,person with shaved eyebrows,
叢,2904,conglomerate,,conglomerate,
肴,2905,entreat,,fish served as an appetizer,
斐,2906,symmetrically patterned,,symmetrically patterned,
卿,2907,magistrate,,magistrate,
翫,2908,fiddle with,,fiddle with,
於,2909,within,,regarding,
套,2910,hackneyed,,trite,
叛,2911,rebellion,,rebellion,
尖,2912,sharp point,,sharp point,
壷,2913,crock,,jar [simplified],
叡,2914,sapience,,sapience,
酋,2915,chieftain,,chieftain,
鴬,2916,nightingale,,nightingale,
赫,2917,incandescent,,incandescent,
臥,2918,supinate,,lie down and rest,
甥,2919,nephew,,nephew,
瓢,2920,gourd,,gourd,
琵,2921,biwa,,biwa,
琶,2922,lute,,lute,
叉,2923,forked,,forked,
乖,2924,disobey,,diverge,
畠,2925,dry field,,dry field,
圃,2926,vegetable patch,,vegetable patch,
丞,2927,helping hand,,helping hand,
亮,2928,translucent,,clear and obvious,
胤,2929,blood relative,,blood relative,
疏,2930,transcription,,transcription,
膏,2931,ointment,,ointment,
魁,2932,pioneer,,pioneer,
馨,2933,ambrosial,,heavenly smell,
牒,2934,label,,label,
瞥,2935,glimpse,,glimpse,
睾,2936,testicle,,testicle,
巫,2937,sorceress,,sorceress,
敦,2938,empathetic,,empathetic,
奎,2939,Andromeda,,Andromeda,
翔,2940,soar,,soar (in the sky),
皓,2941,beaming,,beaming,
黎,2942,tenebrous,,tenebrous,
赳,2943,bold,敢,bold,敢
已,2944,stop short,,stop short,
棘,2945,thornbush,,thornbush,
祟,2946,haunt,,cast a spell,
甦,2947,resuscitate,,resuscitate,
剪,2948,pruning,,pruning,
躾,2949,upbringing,,upbringing,
夥,2950,plentiful,豊,plentiful,豊
鼾,2951,snore,,snore,
陀,2952,steeply inclined,,inaccessible terrain,
粁,2953,kilometer,,kilometer,
糎,2954,centimeter,,centimeter,
粍,2955,millimeter,,millimeter,
噸,2956,ton,,ton,
哩,2957,mile,,mile,
浬,2958,nautical mile,,nautical mile,
吋,2959,inch,,inch,
呎,2960,foot,足,feet,
梵,2961,brahman,,brahman,
薩,2962,bodhisattva,,bodhisattva,
菩,2963,bo tree,,bo tree,
唖,2964,babble,,babble,
牟,2965,moo,,moo,
迦,2966,Sanskrit ka,,ka!,
珈,2967,jeweled hairpin,,jeweled hairpin,
琲,2968,beaded hairpin,,beaded hairpin,
檜,2969,Japanese cypress (old),,Japanese cypress (old),
轡,2970,tinkling bell,,bridle’s bit,
淵,2971,abyss (old),,abyss (old),
伍,2972,V,,thin five,
什,2973,X,,X (ten),
萬,2974,ten thousand (old),,ten thousand [old],
邁,2975,pass through,通,push through,
燭,2976,candlelight,,candlelight,
逞,2977,tough,,strong body and will,
燈,2978,lamp (old),,lamp [old],
裡,2979,back (old),,back (old),
薗,2980,park (alternate),,park [old],
鋪,2981,shop (alternate),,shop (alternate),
嶋,2982,island (alternate),,island [old],
峯,2983,summit (alternate),,peak [old],
埜,2984,plains (old),,field [old],
龍,2985,dragon (old),,ancient dragon,
寵,2986,patronage,,patronage,
聾,2987,deafness,,deafness,
慾,2988,longing (old),,deep desire,
嶽,2989,Point (old),,mountain peak [old],
國,2990,country (old),,country [old],
脛,2991,shin,脚,shin,脚
勁,2992,formidable,,formidable,
祀,2993,enshrine,,worship as a god,
祓,2994,exorcism,,exorcism,
躇,2995,dither,,dither,
壽,2996,longevity (old),,lifespan [old],
躊,2997,hesitate,,hesitate,
饅,2998,bean jam,,bean jam,
嘔,2999,retch,,retch,
鼈,3000,snapping turtle,,snapping turtle,
